Column1,Column2,Column3,Column4,Column5,Column6
Rank/Grade,Army,Navy,Marine Corps,Air Force,Total DoD
GENERAL       -ADMIRAL,15,8,4,13,40
LT GENERAL    -VICE ADMIRAL,44,38,21,44,147
MAJ GENERAL   -REAR ADMIRAL(U),118,61,27,90,296
BRIG GENERAL  -REAR ADMIRAL(L),141,107,41,149,438
COLONEL       -CAPTAIN,"3,990","3,125",643,"3,241","10,999"
LIEUTENANT COL-COMMANDER,"8,793","6,668","1,901","9,764","27,126"
MAJOR         -LT COMMANDER,"15,077","10,592","3,883","13,593","43,145"
CAPTAIN       -LIEUTENANT,"28,421","18,726","6,122","20,851","74,120"
Ist LIEUTENANT-LIEUTENANT(JG),"11,259","6,659","3,337","6,995","28,250"
2nd LIEUTENANT-ENSIGN,"9,881","7,018","3,203","7,900","28,002"
CHIEF WARRANT OFFICER W-5,589,87,107,0,783
CHIEF WARRANT OFFICER W-4,"2,070",394,297,0,"2,761"
CHIEF WARRANT OFFICER W-3,"3,949",647,629,0,"5,225"
CHIEF WARRANT OFFICER W-2,"5,300",607,830,0,"6,737"
WARRANT OFFICER W-1,"2,352",0,287,0,"2,639"
,,,,,
TOTAL OFFICER,"91,999","54,737","21,332","62,640","230,708"
E-9,"3,508","2,641","1,580","2,640","10,369"
E-8,"10,580","6,620","3,920","5,075","26,195"
E-7,"35,769","21,294","8,635","25,388","91,086"
E-6,"54,188","49,237","14,145","39,695","157,265"
E-5,"65,544","67,876","26,022","61,672","221,114"
E-4,"106,466","51,965","35,626","51,545","245,602"
E-3,"50,488","42,796","42,503","55,267","191,054"
E-2,"27,491","15,408","20,869","7,192","70,960"
E-1,"25,571","12,821","10,783","10,504","59,679"
,,,,,
TOTAL ENLISTED,"379,605","270,658","164,083","258,978","1,073,324"
CADETS-MIDSHIPMEN,"4,575","4,456",0,"4,262","13,293"
GRAND TOTAL,"476,179","329,851","185,415","325,880","1,317,325"
,,,,,
